Number xind yind east north data err wgt Elos Nlos Ulos
  56  830  799 129.057819744905 41.306829932890 -4.301382 0.18822     48 0.55370 0.10286 -0.82634
  57  830  786 129.057819744905 41.307732710675 -8.525293 0.31357     46 0.55371 0.10286 -0.82633
  58  830  780 129.057819744905 41.308149377345 -5.922481 0.15978     56 0.55372 0.10286 -0.82633
  59  810  756 129.056430856005 41.309816044025 -10.601415 0.27286    224 0.55359 0.10285 -0.82642
  60  810  769 129.056430856005 41.308913266240 -10.550508 0.19235    100 0.55358 0.10285 -0.82642
  61  830  773 129.057819744905 41.308635488460 -5.117646 0.31566     46 0.55372 0.10286 -0.82633
  62  826  756 129.057541967125 41.309816044025 -11.347946 0.20953    224 0.55370 0.10286 -0.82634
  63  786  816 129.054764189325 41.305649377325 -3.819311 0.48351    849 0.55343 0.10283 -0.82652
  64  786  842 129.054764189325 41.303843821755 -4.419723 0.46927    778 0.55342 0.10283 -0.82653
  65  810  836 129.056430856005 41.304260488425 -4.825115 0.39416    156 0.55355 0.10285 -0.82644
  66  806  846 129.056153078225 41.303566043975 -5.405428 0.25816     56 0.55352 0.10284 -0.82646
  67  806  852 129.056153078225 41.303149377305 -5.455847 0.07995     48 0.55351 0.10284 -0.82647
  68  827  830 129.057611411570 41.304677155095 0.691671 0.40820      4 0.55366 0.10286 -0.82637
  69  827  832 129.057611411570 41.304538266205 -0.617837 1.04532      4 0.55366 0.10286 -0.82637
  70  829  832 129.057750300460 41.304538266205 -1.108081 0.58612      4 0.55367 0.10286 -0.82636
  71  829  830 129.057750300460 41.304677155095 -0.418561 0.28118      4 0.55367 0.10286 -0.82636
  72  832  835 129.057958633795 41.304329932870 -2.363117 0.21026     12 0.55369 0.10286 -0.82635
  73  832  831 129.057958633795 41.304607710650 -0.950645 0.06924     16 0.55369 0.10286 -0.82634
  74  806  806 129.056153078225 41.306343821775 -5.959850 0.19349     56 0.55355 0.10284 -0.82644
  75  806  813 129.056153078225 41.305857710660 -5.594986 0.11166     56 0.55354 0.10284 -0.82645
  76  814  813 129.056708633785 41.305857710660 -5.535496 0.24901     56 0.55359 0.10285 -0.82641
  77  810  823 129.056430856005 41.305163266210 -5.796827 0.46079    170 0.55356 0.10285 -0.82644
  78  830  806 129.057819744905 41.306343821775 -5.231524 0.13881     56 0.55370 0.10286 -0.82634
  79  836  804 129.058236411575 41.306482710665 -4.989407 0.13411     16 0.55374 0.10287 -0.82631
  80  836  808 129.058236411575 41.306204932885 -5.941854 0.00631     12 0.55374 0.10287 -0.82631
  81  840  808 129.058514189355 41.306204932885 -6.570021 0.02768     12 0.55376 0.10287 -0.82630
  82  840  804 129.058514189355 41.306482710665 -5.753318 0.27155     16 0.55376 0.10287 -0.82630
  83  846  813 129.058930856025 41.305857710660 -6.142237 0.31261     56 0.55379 0.10287 -0.82627
  84  844  804 129.058791967135 41.306482710665 -6.916740 0.48402     16 0.55379 0.10287 -0.82628
  85  844  808 129.058791967135 41.306204932885 -6.646627 0.05161     12 0.55379 0.10287 -0.82628
  86  848  808 129.059069744915 41.306204932885 -6.488709 0.06979     12 0.55381 0.10287 -0.82626
  87  847  803 129.059000300470 41.306552155110 -6.239900 0.97959      4 0.55381 0.10287 -0.82626
  88  847  805 129.059000300470 41.306413266220 -7.746367 0.16791      4 0.55381 0.10287 -0.82627
  89  849  805 129.059139189360 41.306413266220 -8.048911 0.30276      4 0.55382 0.10288 -0.82626
  90  849  803 129.059139189360 41.306552155110 -7.068157 0.89280      4 0.55382 0.10288 -0.82626
  91  836  818 129.058236411575 41.305510488435 -8.280058 0.05125     16 0.55373 0.10287 -0.82632
  92  836  822 129.058236411575 41.305232710655 -8.178396 0.19363     12 0.55372 0.10287 -0.82632
  93  840  822 129.058514189355 41.305232710655 -8.112208 0.15494     12 0.55375 0.10287 -0.82631
  94  840  818 129.058514189355 41.305510488435 -8.330080 0.05254     16 0.55375 0.10287 -0.82630
  95  846  820 129.058930856025 41.305371599545 -8.605762 0.36875     56 0.55379 0.10287 -0.82628
  96  854  820 129.059486411585 41.305371599545 -9.047835 0.11290     56 0.55384 0.10288 -0.82624
  97  852  825 129.059347522695 41.305024377320 -7.474342 0.17133     12 0.55382 0.10288 -0.82626
